
1.8.1t	{Ἀρχιμήδης Δοσιθέῳ χαίρειν} 
1.249.8	καὶ ἄξονα τὸν αὐτὸν τοῦτον ἔχει τὸν λόγον, ὃν ἁ ΕΗ 
1.249.9	ποτὶ τὰν ΕΔ. 
1.249.10	    λβʹ. 
1.249.11	  Καὶ τοίνυν εἴ κα μὴ ὀρθῷ ποτὶ τὸν ἄξονα τῷ ἐπιπέδῳ 
1.249.12	τμαθῇ τὸ σφαιροειδὲς μηδὲ διὰ τοῦ κέντρου, τὸ μεῖζον 
1.249.13	τμᾶμα αὐτοῦ ποτὶ τὸ ἀπότμαμα τοῦ κώνου τὸ βάσιν 
1.249.14	ἔχον τὰν αὐτὰν τῷ τμάματι καὶ ἄξονα τὸν αὐτὸν τοῦτον 
1.249.15	ἕξει τὸν λόγον, ὃν ἁ συναμφοτέραις ἴσα τᾷ τε ἡμισέᾳ τᾶς 
1.249.16	ἐπιζευγνυούσας τὰς κορυφὰς τῶν γενομένων τμαμάτων 
1.249.17	καὶ τῷ ἄξονι τῷ τοῦ ἐλάσσονος τμάματος ποτὶ τὸν ἄξονα 
1.249.18	τὸν τοῦ ἐλάσσονος τμάματος. 
1.249.19	  Τετμάσθω τὸ σφαιροειδὲς ἐπιπέδῳ, ὡς εἴρηται, τμαθέντος 
1.249.20	δὲ αὐτοῦ ἐπιπέδῳ ἄλλῳ διὰ τοῦ ἄξονος ὀρθῷ ποτὶ τὸ 
1.249.21	τέμνον ἐπίπεδον τοῦ μὲν σχήματος τομὰ ἔστω ἁ ΑΒΓΔ 
1.249.22	ὀξυγωνίου κώνου τομά, τοῦ δὲ τέμνοντος ἐπιπέδου τὸ 
1.249.23	σχῆμα ἁ ΓΑ εὐθεῖα, παρὰ δὲ τὰν ΑΓ ἄχθωσαν αἱ ΠΡ, 
1.249.24	ΣΤ ἐπιψαύουσαι τᾶς τοῦ ὀξυγωνίου κώνου τομᾶς κατὰ τὰ 
1.249.25	Β, Δ, καὶ ἀνεστακέτω ἀπ' αὐτᾶν ἐπίπεδα παράλληλα τῷ 
1.249.26	κατὰ τὰν ΑΓ· ἐπιψαυσοῦντι δὲ ταῦτα τοῦ σφαιροειδέος 
1.249.27	κατὰ τὰ Β, Δ, καὶ ἐσσοῦνται κορυφαὶ τῶν τμαμάτων τὰ  
1.250.1	Β, Δ. Ἄχθω οὖν ἁ τὰς κορυφὰς ἐπιζευγνύουσα τῶν 
1.250.2	γενομένων τμαμάτων ἁ ΒΔ· πεσεῖται δ' αὕτα διὰ τοῦ κέν-
1.250.3	τρου· καὶ ἔστω κέντρον τὸ Θ, μεῖζον δὲ ἢ τὸ ἡμίσεον τοῦ 
1.250.4	σφαιροειδέος τὸ τμᾶμα, οὗ κορυφὰ τὸ Β, ποτικείσθω δὲ ἁ 
1.250.5	ΔΗ ἴσα τᾷ ΔΘ καὶ ἁ ΒΖ τᾷ αὐτᾷ. Δεικτέον ὅτι τὸ τμᾶμα 
1.250.6	τοῦ σφαιροειδέος τὸ μεῖζον ποτὶ τὸ ἀπότμαμα τοῦ κώνου 
1.250.7	τὸ βάσιν ἔχον τὰν αὐτὰν τῷ τμάματι καὶ ἄξονα τὸν αὐτὸν 
1.250.8	τοῦτον ἔχει τὸν λόγον, ὃν ἁ ΕΗ ποτὶ τὰν ΕΔ.  
1.250.9	  Τετμάσθω γὰρ τὸ σφαιροειδὲς ἐπιπέδῳ διὰ τοῦ κέντρου 
1.250.10	παραλλήλῳ τῷ κατὰ τὰν ΑΓ ἐπιπέδῳ, καὶ ἐγγεγράφθω εἰς 
1.250.11	τὸ ἡμίσεον τοῦ σφαιροειδέος ἀπότμαμα κώνου κορυφὰν 
1.250.12	ἔχον τὸ Δ σαμεῖον, καὶ ὃν ἔχει λόγον ἁ ΔΘ ποτὶ τὰν ΕΔ, 
1.250.13	τοῦτον ἐχέτω ἁ ΞΔ ποτὶ τὰν ΘΔ. Ὁμοίως δὴ τῷ πρότερον 
1.250.14	δειχθήσεται τό τε ἀπότμαμα τοῦ κώνου τὸ ἐν τῷ ἡμισέῳ  
1.251.1	τοῦ σφαιροειδέος ἐγγεγραμμένον ποτὶ τὸ ἀπότμαμα τοῦ 
1.251.2	κώνου τὸ ἐν τῷ ἐλάσσονι ἐγγεγραμμένον τὸν αὐτὸν ἔχον 
1.251.3	λόγον, ὃν τὸ περιεχόμενον ὑπὸ τᾶν ΞΔ, ΒΘ ποτὶ τὸ ὑπὸ 
1.251.4	τᾶν ΒΕ, ΕΔ, καὶ τὸ ἀπότμαμα τοῦ κώνου τὸ ἐν τῷ ἐλάσσονι 
1.251.5	τμάματι ἐγγεγραμμένον ποτὶ τὸ τμᾶμα τὸ ἐν ᾧ ἐγγέγραπ-
1.251.6	ται τὸν αὐτὸν ἔχον λόγον, ὃν τὸ περιεχόμενον ὑπὸ τᾶν 
1.251.7	ΒΕ, ΕΔ ποτὶ τὸ ὑπὸ τᾶν ΖΕ, ΕΔ· ἕξει οὖν τὸ ἀπότμαμα 
1.251.8	τοῦ κώνου τὸ ἐν τῷ ἡμισέῳ τοῦ σφαιροειδέος ἐγγεγραμ-
1.251.9	μένον ποτὶ τὸ ἔλασσον τμᾶμα τοῦ σφαιροειδέος ὃν τὸ 
1.251.10	περιεχόμενον ὑπὸ τᾶν ΞΔ, ΒΘ ποτὶ τὸ ὑπὸ τᾶν ΖΕ, ΕΔ. 
1.251.11	Ἕξει οὖν τὸ μὲν ὅλον σφαιροειδὲς ποτὶ τὸ ἀπότμαμα τοῦ 
1.251.12	κώνου τὸ ἐν τῷ ἡμισέῳ τοῦ σφαιροειδέος ἐγγεγραμμένον 
1.251.13	τὸν αὐτὸν λόγον, ὃν τὸ περιεχόμενον ὑπὸ τᾶν ΖΗ, ΞΔ 
1.251.14	ποτὶ τὸ ὑπὸ τᾶν ΒΘ, ΞΔ· τετραπλάσιον γὰρ ἑκατέρου 
1.251.15	ἑκάτερον· τὸ δὲ ἀπότμαμα τοῦ κώνου τὸ εἰρημένον ποτὶ 
1.251.16	τὸ ἔλασσον τμᾶμα τοῦ σφαιροειδέος τὸν αὐτὸν ἔχει λόγον, 
1.251.17	ὃν τὸ περιεχόμενον ὑπὸ τᾶν ΞΔ, ΒΘ ποτὶ τὸ ὑπὸ τᾶν 
1.251.18	ΖΕ, ΕΔ· ἕξει οὖν τὸ ὅλον σφαιροειδὲς ποτὶ τὸ ἔλασσον 
1.251.19	τμᾶμα αὐτοῦ [τοῦ σφαιροειδέος] τὸν αὐτὸν λόγον, ὃν τὸ 
1.251.20	περιεχόμενον ὑπὸ τᾶν ΖΗ, ΞΔ ποτὶ τὸ ὑπὸ τᾶν ΖΕ, ΕΔ· 
1.251.21	αὐτὸ δὲ τὸ μεῖζον τμᾶμα ποτὶ τὸ ἔλασσον τὸν αὐτὸν ἔχει 
1.251.22	λόγον, ὃν ἁ ὑπεροχά, ᾇ ὑπερέχει τὸ περιεχόμενον ὑπὸ 
1.251.23	τᾶν ΖΗ, ΞΔ τοῦ περιεχομένου ὑπὸ τᾶν ΖΕ, ΕΔ, ποτὶ τὸ 
1.251.24	ὑπὸ τᾶν ΖΕ, ΕΔ. Τὸ δὲ ἔλασσον τμᾶμα ποτὶ τὸ ἀπότμαμα 
1.251.25	τοῦ κώνου τὸ ἐν αὐτῷ ἐγγεγραμμένον τὸν αὐτὸν ἔχει  
1.252.1	λόγον, ὃν τὸ ὑπὸ τᾶν ΖΕ, ΕΔ ποτὶ τὸ ὑπὸ τᾶν ΒΕ, ΕΔ 
1.252.2	[δέδεικται γὰρ τοῦτον ἔχον τὸν λόγον, ὃν ἁ ΖΕ ποτὶ τὰν 
1.252.3	ΒΕ]· τὸ δὲ ἀπότμαμα τοῦ κώνου τὸ ἐν τῷ ἐλάσσονι 
1.252.4	τμάματι ἐγγεγραμμένον ποτὶ τὸ ἀπότμαμα τοῦ κώνου τὸ 
1.252.5	ἐν τῷ μείζονι τμάματι ἐγγεγραμμένον τὸν αὐτὸν ἔχει λόγον, 
1.252.6	ὃν τὸ ὑπὸ τᾶν ΒΕ, ΕΔ ποτὶ τὸ ἀπὸ τᾶς ΒΕ τετράγωνον· 
1.252.7	τὰ γὰρ ἀποτμάματα τῶν κώνων τὰ εἰρημένα τὸν τῶν 
1.252.8	ὑψέων λόγον ἔχοντι, ἐπεὶ βάσιν ἔχοντι τὰν αὐτάν, τὰ δὲ 
1.252.9	ὕψεα αὐτῶν τὸν αὐτὸν λόγον ἔχοντι τῷ τᾶς ΔΕ ποτὶ τὰν 
1.252.10	ΕΒ· ἔχει οὖν καὶ τὸ μεῖζον τμᾶμα τοῦ σφαιροειδέος ποτὶ 
1.252.11	τὸ ἀπότμαμα τοῦ κώνου τὸ ἐν αὐτῷ ἐγγεγραμμένον τὸν 
1.252.12	αὐτὸν λόγον, ὃν ἁ ὑπεροχά, ᾇ ὑπερέχει τὸ περιεχόμενον 
1.252.13	ὑπὸ τᾶν ΗΖ, ΞΔ τοῦ ὑπὸ τᾶν ΖΕΔ, ποτὶ τὸ ἀπὸ τᾶς ΒΕ 
1.252.14	τετράγωνον· ὁ δὲ λόγος οὗτος ὁμοίως τῷ πρότερον 
1.252.15	δειχθείη κα ὁ αὐτὸς ἐὼν τῷ ὃν ἔχει ἁ ΕΗ ποτὶ τὰν ΕΔ.  
2.8.1t	{Ἀρχιμήδης Δοσιθέῳ χαίρειν} 
2.8.2	  Τῶν ποτὶ Κόνωνα ἀποσταλέντων θεωρημάτων, ὑπὲρ ὧν 
2.8.3	ἀεὶ τὰς ἀποδείξιας ἐπιστέλλεις μοι γράψαι, τῶν μὲν 
2.8.4	πλείστων ἐν τοῖς ὑπὸ Ἡρακλείδα κομισθέντεσσιν ἔχεις 
2.8.5	γεγραμμένας, τινὰς δὲ αὐτῶν καὶ ἐν τῷδε τῷ βιβλίῳ 
2.8.6	γράψας ἐπιστέλλω τοι. Μὴ θαυμάσῃς δὲ εἰ πλείονα 
2.8.7	χρόνον ποιήσαντες ἐκδίδομες τὰς ἀποδείξιας αὐτῶν· 
2.8.8	συμβαίνει γὰρ τοῦτο γεγενῆσθαι διὰ τὸ βούλεσθαί με 
2.8.9	πρότερον διδόμεν τοῖς περὶ τὰ μαθήματα πραγματευο-
2.8.10	μένοις καὶ μαστεύειν αὐτὰ προαιρουμένοις. Πόσα γὰρ 
2.8.11	τῶν ἐν γεωμετρίᾳ θεωρημάτων οὐκ εὐμέθοδα ἐν ἀρχᾷ 
2.8.12	φανέντα χρόνῳ τὰν ἐξεργασίαν λαμβάνοντι; Κόνων 
2.8.13	μὲν οὖν οὐχ ἱκανὸν λαβὼν ἐς τὰν μάστευσιν αὐτῶν χρόνον 
2.8.14	μετάλλαξεν τὸν βίον· ἢ δῆλα ἐποίησέν κα ταῦτα πάντα 
2.8.15	εὑρὼν καὶ ἄλλα πολλὰ ἐξευρὼν καὶ ἐπὶ τὸ πλεῖον 
2.8.16	προάγαγεν γεωμετρίαν· ἐπιστάμεθα γὰρ ὑπάρξασαν 
2.8.17	αὐτῷ σύνεσιν οὐ τὰν τυχοῦσαν περὶ τὸ μάθημα καὶ 
2.8.18	φιλοπονίαν ὑπερβάλλουσαν. Μετὰ δὲ τὰν Κόνωνος 
2.8.19	τελευτὰν πολλῶν ἐτέων ἐπιγεγενημένων οὐδ' ὑφ' ἑνὸς 
2.8.20	οὐδὲν τῶν προβλημάτων αἰσθανόμεθα κεκινημένον. Βούλο-
2.8.21	μαι δὲ καθ' ἓν ἕκαστον αὐτῶν προενέγκασθαι· καὶ γὰρ 
2.8.22	συμβαίνει δύο τινὰ τῶν ἐμαυτῷ μήπω πεπερασμένων διὰ  
2.9.1	τέλους ποτιτεθῆμεν, ὅπως οἱ φάμενοι μὲν πάντα εὑρίσκειν, 
2.9.2	ἀπόδειξιν δὲ αὐτῶν οὐδεμίαν ἐκφέροντες ἐλέγχωνται 
2.9.3	ποθωμολογηκότες εὑρίσκειν τὰ ἀδύνατα. Ταῦτα δὴ ποῖα 
2.9.4	τῶν προβλημάτων ἐντί, καὶ τίνων τὰς ἀποδείξιας ἔχεις 
2.9.5	ἀπεσταλμένας, καὶ ποίων ἐν τῷδε τῷ βιβλίῳ κομίζομες, 
2.9.6	δοκιμάζομες ἐμφανίξαι τοι. Πρῶτον δὴ τῶν προβλημάτων 
2.9.7	ἦν· σφαίρας δοθείσας ἐπίπεδον χωρίον εὑρεῖν ἴσον τᾷ 
2.9.8	ἐπιφανείᾳ τᾶς σφαίρας. Ὃ δὴ καὶ πρῶτον ἐγένετο φανερὸν 
2.9.9	ἐκδοθέντος τοῦ περὶ τὰν σφαῖραν βιβλίου· δειχθέντος 
2.9.10	γὰρ ὅτι πάσας σφαίρας ἁ ἐπιφάνεια τετραπλασία ἐστὶ 
2.9.11	τοῦ μεγίστου κύκλου τῶν ἐν τᾷ σφαίρᾳ δῆλον ὡς δυνατόν 
2.9.12	ἐστι χωρίον ἐπίπεδον εὑρεῖν ἴσον τᾷ ἐπιφανείᾳ τᾶς σφαίρας. 
2.9.13	Δεύτερον δέ· κώνου δοθέντος ἢ κυλίνδρου σφαῖραν εὑρεῖν 
2.9.14	ἴσαν τῷ κώνῳ ἢ τῷ κυλίνδρῳ. Τρίτον δέ· τὰν δοθεῖσαν 
2.9.15	σφαῖραν ἐπιπέδῳ τεμεῖν, ὥστε τὰ τμάματα αὐτᾶς 
2.9.16	ποτ' ἄλλαλα τὸν ταχθέντα λόγον ἔχειν. Τέταρτον δέ· 
2.9.17	τὰν δοθεῖσαν σφαῖραν ἐπιπέδῳ τεμεῖν, ὥστε τὰ τμάματα 
2.9.18	τᾶς ἐπιφανείας τὸν ταχθέντα λόγον ἔχειν ποτ' ἄλλαλα. 
2.9.19	Πέμπτον δέ· τὸ δοθὲν τμᾶμα σφαίρας τῷ δοθέντι τμάματι 
2.9.20	σφαίρας ὁμοιῶσαι. Ἕκτον δέ· δύο δοθέντων τμαμάτων 
2.9.21	σφαίρας εἴτε τᾶς αὐτᾶς εἴτε ἄλλας εὑρεῖν τι τμᾶμα 
2.9.22	σφαίρας, ὃ ἐσσεῖται αὐτὸ μὲν ὁμοῖον τῷ ἑτέρῳ τῶν 
2.9.23	τμαμάτων, τὰν δὲ ἐπιφάνειαν ἴσαν ἕξει τᾷ ἐπιφανείᾳ τοῦ 
2.9.24	ἑτέρου τμάματος. Ἕβδομον· ἀπὸ τᾶς δοθείσας σφαίρας 
2.9.25	τμᾶμα ἀποτεμεῖν ἐπιπέδῳ, ὥστε τὸ τμᾶμα ποτὶ τὸν κῶνον 
2.9.26	τὸν βάσιν ἔχοντα τὰν αὐτὰν τῷ τμάματι καὶ ὕψος ἴσον τὸν 
2.9.27	ταχθέντα λόγον ἔχειν μείζονα τοῦ ὃν ἔχει τὰ τρία ποτὶ 
2.9.28	τὰ δύο. Τούτων μὲν οὖν τῶν εἰρημένων πάντων τὰς  
2.10.1	ἀποδείξιας Ἡρακλείδας ἐκόμιξεν· τὸ δὲ μετὰ ταῦτα 
2.10.2	κεχωρισμένον ψεῦδος ἦν. Ἔστι δέ· εἴ κα σφαῖρα ἐπιπέδῳ 
2.10.3	τμαθῇ εἰς ἄνισα, τὸ μεῖζον τμᾶμα ποτὶ τὸ ἔλασσον διπλα-
2.10.4	σίονα λόγον ἕξει ἢ ἁ μείζων ἐπιφάνεια ποτὶ τὰν ἐλάσσονα. 
2.10.5	Ὅτι δὲ τοῦτο ψεῦδός ἐστι, διὰ τῶν προαπεσταλμένων 
2.10.6	φανερόν ἐστι· κεχώρισται γὰρ ἐν αὐτοῖς τόδε· εἴ κα 
2.10.7	σφαῖρα ἐπιπέδῳ τμαθῇ εἰς ἄνισα ποτ' ὀρθὰς διαμέτρῳ 
2.10.8	τινὶ τῶν ἐν τᾷ σφαίρᾳ, τᾶς μὲν ἐπιφανείας τὸ μεῖζον τμᾶμα 
2.10.9	ποτὶ τὸ ἔλασσον τὸν αὐτὸν ἕξει λόγον, ὃν τὸ τμᾶμα τὸ 
2.10.10	μεῖζον τᾶς διαμέτρου ποτὶ τὸ ἔλασσον, τὸ δὲ μεῖζον 
2.10.11	τμᾶμα τᾶς σφαίρας ποτὶ τὸ ἔλασσον ἐλάσσονα μὲν ἢ 
2.10.12	διπλάσιον λόγον ἔχει τοῦ ὃν ἔχει ἁ μείζων ἐπιφάνεια 
2.10.13	ποτὶ τὰν ἐλάσσονα, μείζονα δὲ ἢ ἡμιόλιον. Ἦν δὲ καὶ τὸ 
2.10.14	ἔσχατον κεχωρισμένον τῶν προβλημάτων ψεῦδος, ὅτι, 
2.10.15	εἴ κα σφαίρας τινὸς ἁ διάμετρος τμαθῇ, ὥστε τὸ ἀπὸ 
2.10.16	τοῦ μείζονος τμάματος τετράγωνον τριπλάσιον εἶμεν 
2.10.17	τοῦ τετραγώνου τοῦ ἀπὸ τοῦ ἐλάσσονος τμάματος, καὶ 
2.10.18	διὰ τοῦ σαμείου ἐπίπεδον ἀχθὲν ποτ' ὀρθὰς τᾷ διαμέτρῳ 
2.10.19	τέμνῃ τὰν σφαῖραν, τὸ τοιοῦτον τῷ εἴδει σχῆμα, οἷόν 
2.10.20	ἐστι τὸ μεῖζον τᾶς σφαίρας τμᾶμα, μέγιστόν ἐστι τῶν 
2.10.21	ἄλλων τμαμάτων τῶν ἐχόντων ἴσαν τὰν ἐπιφάνειαν. 
2.10.22	Ὅτι δὲ τοῦτο ψεῦδός ἐστι δῆλον διὰ τῶν προαπεσταλμένων 
2.10.23	θεωρημάτων· δέδεικται γὰρ ὅτι τὸ ἡμισφαίριον μέγιστόν 
2.10.24	ἐστι τῶν περιεχομένων ὑπὸ ἴσας ἐπιφανείας σφαίρας 
2.10.25	τμαμάτων. Μετὰ δὲ ταῦτα περὶ τοῦ κώνου προβεβλημένα 
2.10.26	ἐστὶ τάδε· εἴ κα ὀρθογωνίου κώνου τομὰ μενούσας τᾶς 
2.10.27	διαμέτρου περιενεχθῆ ὥστε εἶμεν ἄξονα τὰν διάμετρον, 
2.10.28	τὸ περιγραφὲν σχῆμα ὑπὸ τᾶς τοῦ ὀρθογωνίου κώνου 
2.10.29	τομᾶς κωνοειδὲς καλείσθω, καὶ εἴ κα τοῦ κωνοειδέος  
2.11.1	σχήματος ἐπίπεδον ἐπιψαύῃ, παρὰ δὲ τὸ ἐπιψαῦον 
2.11.2	ἐπίπεδον ἄλλο ἐπίπεδον ἀχθὲν ἀποτέμνῃ τι τμᾶμα τοῦ 
2.11.3	κωνοειδέος, τοῦ ἀποτμαθέντος τμάματος βάσις μὲν 
2.11.4	καλείσθω τὸ ἀποτέμνον ἐπίπεδον, κορυφὰ δὲ τὸ σαμεῖον, 
2.11.5	καθ' ὃ ἐπιψαύει τὸ ἕτερον ἐπίπεδον τοῦ κωνοειδέος. Εἰ 
2.11.6	δή κα τὸ εἰρημένον σχῆμα ἐπιπέδῳ τμαθῆ ποτ' ὀρθὰς τῷ 
2.11.7	ἄξονι, ὅτι μὲν ἁ τομὰ κύκλος ἐσσεῖται δῆλον, ὅτι δὲ 
2.11.8	τὸ ἀποτμαθὲν τμᾶμα ἡμιόλιον ἐσσεῖται τοῦ κώνου τοῦ 
2.11.9	βάσιν ἔχοντος τὰν αὐτὰν τῷ τμάματι καὶ ὕψος ἴσον, 
2.11.10	δεῖξαι δεῖ. Καὶ εἴ κα τοῦ κωνοειδέος δύο τμάματα ἀποτ-
2.11.11	μαθέωντι ἐπιπέδοις ὁπωσοῦν ἀγμένοις, ὅτι μὲν οὖν αἱ 
2.11.12	τομαὶ ἐσσοῦνται ὀξυγωνίων κώνων τομαὶ δῆλον, εἴ κα τὰ 
2.11.13	ἀποτέμνοντα ἐπίπεδα μὴ ὀρθὰ ἔωντι ποτὶ τὸν ἄξονα, ὅτι 
2.11.14	δὲ τὰ τμάματα ποτ' ἄλλαλα τοῦτον ἑξοῦντι τὸν λόγον, 
2.11.15	ὃν ἔχοντι δυνάμει ποτ' ἀλλάλας αἱ ἀπὸ τᾶν κορυφᾶν 
2.11.16	αὐτῶν ἀγμέναι παρὰ τὸν ἄξονα μέχρι ἐπὶ τὰ ἐπίπεδα τὰ 
2.11.17	τέμνοντα, δεῖξαι δεῖ· τούτων δ' αἱ ἀποδείξιες οὔπω τοι 
2.11.18	ἀποστέλλονται. Μετὰ δὲ ταῦτα περὶ τᾶς ἕλικος ἦν προβε-
2.11.19	βλημένα ταῦτα· ἐντὶ δ' ὥσπερ ἄλλο τι γένος προβλημάτων 
2.11.20	οὐδὲν ἐπικοινωνέοντα τοῖς προειρημένοις· ὑπὲρ ὧν ἐν 
2.11.21	τῷδε τῷ βιβλίῳ τὰς ἀποδείξιας γεγραφήκαμές τοι. Ἔστιν 
2.11.22	δὲ τάδε· εἴ κα εὐθεῖα γραμμὰ ἐν ἐπιπέδῳ μένοντος τοῦ 
2.11.23	ἑτέρου πέρατος ἰσοταχέως περιενεχθεῖσα ἀποκατασταθῇ 
2.11.24	πάλιν ὅθεν ὥρμασεν, ἅμα δὲ τᾷ γραμμᾷ περιφερομένᾳ 
2.11.25	φέρηταί τι σαμεῖον ἰσοταχέως αὐτὸ ἑαυτῷ κατὰ τᾶς 
2.11.26	εὐθείας ἀρξάμενον ἀπὸ τοῦ μένοντος πέρατος, τὸ σαμεῖον 
2.11.27	ἕλικα γράψει ἐν τῷ ἐπιπέδῳ. Φαμὶ δὴ τὸ περιλαφθὲν 
2.11.28	χωρίον ὑπό τε τᾶς ἕλικος καὶ τᾶς εὐθείας τᾶς ἀποκατα-
2.11.29	σταθείσας ὅθεν ὥρμασεν τρίτον μέρος εἶμεν τοῦ κύκλου  
2.12.1	τοῦ γραφέντος κέντρῳ μὲν τῷ μένοντι σαμείῳ, διαστήματι 
2.12.2	δὲ τᾷ εὐθείᾳ τᾷ διανυσθείσᾳ ὑπὸ τοῦ σαμείου ἐν τᾷ μιᾷ 
2.12.3	περιφορᾷ τᾶς εὐθείας. Καὶ εἴ κα τᾶς ἕλικος ἐπιψαύῃ τις 
2.12.4	εὐθεῖα κατὰ τὸ πέρας τᾶς ἕλικος τὸ ἔσχατον γενόμενον, 
2.12.5	ἄλλα δέ τις εὐθεῖα τᾷ περιαχθείσᾳ καὶ ἀποκατασταθείσᾳ 
2.12.6	γραμμᾷ ποτ' ὀρθὰς ἀχθῇ ἀπὸ τοῦ μένοντος πέρατος 
2.12.7	αὐτᾶς ὥστε ἐμπεσεῖν τᾷ ἐπιψαυούσᾳ, φαμὶ τὰν ποταχθεῖσαν 
2.12.8	εὐθεῖαν ἴσαν εἶμεν τᾷ τοῦ κύκλου περιφερείᾳ. Καὶ εἴ κα 
2.12.9	ἁ περιαγομένα γραμμὰ καὶ τὸ σαμεῖον τὸ φερόμενον 
2.12.10	κατ' αὐτᾶς πλείονας περιφορὰς περιενεχθέωντι καὶ 
2.12.11	ἀποκατασταθέωντι πάλιν ὅθεν ὥρμασαν, φαμὶ τοῦ χωρίου 
2.12.12	τοῦ ἐν τᾷ δευτέρᾳ περιφορᾷ ποτιλαφθέντος ὑπὸ τᾶς 
2.12.13	ἕλικος τὸ μὲν ἐν τᾷ τρίτᾳ ποτιλαφθὲν διπλάσιον ἐσσεῖσθαι, 
2.12.14	τὸ δὲ ἐν τᾷ τετάρτᾳ τριπλάσιον, τὸ δὲ ἐν τᾷ πέμπτᾳ 
2.12.15	τετραπλάσιον, καὶ ἀεὶ τὰ ἐν ταῖς ὕστερον περιφοραῖς 
2.12.16	ποτιλαμβανόμενα χωρία κατὰ τοὺς ἑξῆς ἀριθμοὺς 
2.12.17	πολλαπλάσια ἐσσεῖσθαι τοῦ ἐν τᾷ δευτέρᾳ περιφορᾷ 
2.12.18	ποτιλαφθέντος, τὸ δὲ ἐν τᾷ πρώτᾳ περιφορᾷ περιλαφθὲν 
2.12.19	χωρίον ἕκτον μέρος εἶμεν τοῦ ἐν τᾷ δευτέρᾳ περιφορᾷ 
2.12.20	ποτιλαφθέντος χωρίου. Καὶ εἴ κα ἐπὶ τᾶς ἕλικος τᾶς 
2.12.21	ἐν μιᾷ περιφορᾷ γεγραμμένας δύο σαμεῖα λαφθέωντι, 
2.12.22	καὶ ἀπ' αὐτῶν ἐπιζευχθέωντι εὐθεῖαι ἐπὶ τὸ μεμενακὸς 
2.12.23	πέρας τᾶς περιενεχθείσας γραμμᾶς, καὶ κύκλοι δύο 
2.12.24	γραφέωντι κέντρῳ μὲν τῷ μεμενακότι σαμείῳ, διαστη-
2.12.25	μάτεσσι δὲ ταῖς ἐπιζευχθείσαις ἐπὶ τὸ μεμενακὸς πέρας 
2.12.26	τᾶς εὐθείας, καὶ ἁ ἐλάσσων τᾶν ἐπιζευχθεισᾶν ἐπεκβληθῇ, 
2.12.27	φαμὶ τὸ περιλαφθὲν χωρίον ὑπό τε τᾶς τοῦ μείζονος 
2.12.28	κύκλου περιφερείας τᾶς ἐπὶ τὰ αὐτὰ τᾷ ἕλικι μεταξὺ 
2.12.29	τᾶν εὐθειᾶν ἐούσας καὶ τᾶς ἕλικος καὶ τᾶς εὐθείας τᾶς  
2.13.1	ἐκβληθείσας ποτὶ τὸ περιλαφθὲν χωρίον ὑπό τε τᾶς τοῦ 
2.13.2	ἐλάσσονος κύκλου περιφερείας καὶ τᾶς αὐτᾶς ἕλικος καὶ 
2.13.3	τᾶς εὐθείας τᾶς ἐπιζευγνυούσας τὰ πέρατα αὐτᾶν τοῦτον 
2.13.4	ἕξειν τὸν λόγον, ὃν ἔχει ἁ ἐκ τοῦ κέντρου τοῦ ἐλάσσονος 
2.13.5	κύκλου μετὰ δύο τριταμορίων τᾶς ὑπεροχᾶς, ᾇ ὑπερέχει 
2.13.6	ἁ ἐκ τοῦ κέντρου τοῦ μείζονος κύκλου τᾶς ἐκ τοῦ κέντρου 
2.13.7	τοῦ ἐλάσσονος κύκλου ποτὶ τὰν ἐκ τοῦ κέντρου τοῦ 
2.13.8	ἐλάσσονος κύκλου μετὰ ἑνὸς τριταμορίου τᾶς εἰρημένας 
2.13.9	ὑπεροχᾶς. Τούτων δή μοι καὶ ἄλλων περὶ τᾶς ἕλικος 
2.13.10	αἱ ἀποδείξιες ἐν τῷδε τῷ βιβλίῳ γράφονται, πρόκεινται 
2.13.11	δέ, ὡς καὶ τῶν ἄλλων τῶν γεωμετρουμένων, τὰ χρείαν 
2.13.12	ἔχοντα εἰς τὰν ἀπόδειξιν αὐτῶν. Λαμβάνω δὲ καὶ ἐν 
2.13.13	τούτοις τῶν ἐν τοῖς πρότερον ἐκδεδομένοις βιβλίοις λῆμμα 
2.13.14	τόδε· τᾶν ἀνισᾶν γραμμᾶν καὶ τῶν ἀνίσων χωρίων τὰν 
2.13.15	ὑπεροχάν, ᾇ ὑπερέχει τὸ μεῖζον τοῦ ἐλάσσονος, αὐτὰν 
2.13.16	ἑαυτᾷ συντιθεμέναν δυνατὸν εἶμεν παντὸς ὑπερίσχειν 
2.13.17	τοῦ προτεθέντος τῶν ποτ' ἄλλαλα λεγομένων. 
2.13.18	    αʹ. 
2.13.19	  Εἴ κα κατά τινος γραμμᾶς ἐνεχθῇ τι σαμεῖον ἰσοταχέως 
2.13.20	αὐτὸ ἑαυτῷ φερόμενον, καὶ λαφθέωντι ἐν αὐτᾷ δύο 
2.13.21	γραμμαί, αἱ ἀπολαφθεῖσαι τὸν αὐτὸν ἑξοῦντι λόγον 
2.13.22	ποτ' ἀλλάλας ὅνπερ οἱ χρόνοι, ἐν οἷς τὸ σαμεῖον τὰς 
2.13.23	γραμμὰς ἐπορεύθη. 
2.13.24	  Ἐνηνέχθω γάρ τι σαμεῖον κατὰ τᾶς ΑΒ γραμμᾶς 
